"Number","Question","What was the problem type?","What was the problem?","How would you fix it?","Answer","Commit","Comment"
1,"select w.id from georef.way as w where w.id not in (select way_id from georef.fusion_ways);",performance,used in,use join instead,"select w.id from georef.way w left outer join georef.fusion_ways fw on(w.id=fw.way_id) where fw.id IS NULL",d46f3e8340de2ce859729cb0e1c80570b568d1d1,
2,"CREATE TABLE visit_occurrence (   visit_occurrence_id   INTEGER   NOT NULL ,   person_id      INTEGER   NOT NULL ,   visit_source_value    VARCHAR(50)  NULL,   visit_source_concept_id  INTEGER   NULL    admitting_source_concept_id INTEGER   NULL ,   admitting_source_value  VARCHAR(50)  NULL , ) ;",fix,A missing comma,add comma," CREATE TABLE visit_occurrence (   visit_occurrence_id   INTEGER   NOT NULL ,   person_id      INTEGER   NOT NULL ,   visit_source_value    VARCHAR(50)  NULL,   visit_source_concept_id  INTEGER   NULL,    admitting_source_concept_id INTEGER   NULL ,   admitting_source_value  VARCHAR(50)  NULL , ) ;",5e64eb1b4d28da699968aa95585da6d855bbc4a5,
3," insert into dbo.d_arvokyselykerta ( SELECT distinct    -1   ,[source]   ,koodi   ,nimi   ,koodi   ,nimi   ,nimi_sv   ,nimi_en    ,nimi   ,-1 FROM ANTERO_SA.dbo.sa_koodistot   where koodisto='vipunenmeta'   and koodi='-1' )   ; ",performance,"Used distinct to removed duplicates, which can be 10 time slower than group by",use group by,"   insert into dbo.d_arvokyselykerta ( SELECT     -1   ,[source]   ,koodi   ,nimi   ,koodi   ,nimi   ,nimi_sv   ,nimi_en    ,nimi   ,-1 FROM ANTERO_SA.dbo.sa_koodistot   where koodisto='vipunenmeta'   and koodi='-1' group by   [source]   ,koodi   ,nimi   ,koodi   ,nimi   ,nimi_sv   ,nimi_en    ,nimi )  ;",19327d9e094ed4535a476bb331911f2e06bcb1c5,
4,DROP DATABASE gogs;,fix,Dropping a none existing object will fail the code,check for existence in drop,DROP DATABASE IF EXISTS gogs;,6ce8fa49eaa9550951f355da3060b6c9f91010bf,"In general, beware of dropping databases"
5,"CREATE TABLE data_log ( id INT PRIMARY KEY, log_text VARCHAR(255) ) ENGINE=MyISAM;","performance","MyISAM uses table-level locking which significantly degrades concurrent insert/update performance.","Change the table storage engine from MyISAM to InnoDB to utilize row-level locking.","CREATE TABLE data_log ( id INT PRIMARY KEY, log_text VARCHAR(255) ) ENGINE=InnoDB;","895dd0f5","InnoDB is the recommended engine for modern MySQL concurrent workloads."
6,"SELECT COALESCE(package_name, NULL) AS pkg_name FROM packages;","refactor","Wrapping a column in COALESCE with NULL as the fallback is completely redundant and adds unnecessary function calls.","Remove the redundant COALESCE function.","SELECT package_name AS pkg_name FROM packages;","b7db4e56","Cleans up the code and avoids unnecessary function overhead during execution."
7,"SELECT * FROM users WHERE YEAR(created_at) = 2023;","performance","Applying a function like YEAR() to a column prevents the database from using indexes on that column (Non-SARGable), forcing a full table scan.","Compare the column directly against a literal date range so the engine can perform an index range scan.","SELECT * FROM users WHERE created_at >= '2023-01-01' AND created_at < '2024-01-01';","N/A (Bonus 1)","SARGable (Search Argument Able) queries are critical for utilizing B-Tree indexes effectively."
8,"SELECT CASE WHEN (SELECT COUNT(*) FROM orders WHERE user_id = 123) > 0 THEN 1 ELSE 0 END;","performance","Using COUNT(*) forces the database to find and count every single matching row, which is wasteful if you only need to check for existence.","Use the EXISTS operator, which short-circuits and stops searching the moment it finds the first matching row.","SELECT CASE WHEN EXISTS (SELECT 1 FROM orders WHERE user_id = 123) THEN 1 ELSE 0 END;","N/A (Bonus 2)","EXISTS is highly optimized for boolean existence checks and avoids unnecessary read operations."
9,"SELECT * FROM employees JOIN departments ON employees.dept_id = departments.id;","performance","Using SELECT * retrieves all columns from all joined tables, increasing memory allocation, network payload, and preventing the use of covering indexes.","Explicitly select only the exact columns required by the application.","SELECT employees.id, employees.name, departments.department_name FROM employees JOIN departments ON employees.dept_id = departments.id;","N/A (Bonus 3)","Fetching only necessary columns minimizes I/O latency and allows the optimizer to use covering indexes."
10," SELECT
    t1.end_period                 AS `Period`,
    SUM(t1.cost * t1.run_time)    AS `Total CPU Time Usage`,
    ref_cat_table.ref_category    AS ref_category
FROM %DB%.accounting_view AS t1
RIGHT JOIN user_info.user_refcats AS ref_cat_table 
    ON t1.owner = ref_cat_table.username 
    WHERE end_time > start_time
    AND ref_cat_table.ref_category = '%REFCAT%'",representation,The time was shown in seconds which is not relevant,change the time to hours,"   t1.end_period			AS `Period`,
    SUM((t1.cost * t1.run_time)/3600)	AS `Total CPU Time Usage`,
    ref_cat_table.ref_category		AS ref_category
FROM %DB%.accounting_view		AS t1
RIGHT JOIN user_info.user_refcats 	AS ref_cat_table 
    ON t1.owner = ref_cat_table.username 
    WHERE end_time > start_time
    AND ref_cat_table.ref_category = '%REFCAT%'",62246ed0312999027fca7561c5c3a0a345ab972b,
11," private[ldbc] def mediumblobType: Parser[DataType] =
    customError(
      caseSensitivity(""mediumblob"") ^^ (_ => DataType.TINYBLOB()),
      input => s""""""",storage,datatype to small for the data,Change bug TinyBlob to MediumBlob,"  private[ldbc] def mediumblobType: Parser[DataType] =
    customError(
      caseSensitivity(""mediumblob"") ^^ (_ => DataType.MEDIUMBLOB()),
      input => s""""""
        |===============================================================================
        |Failed to parse mediumblob data type.",a809185eda2910d6aa5621958d274be4e097997c,
12,"CREATE TABLE groups (
	id SERIAL PRIMARY KEY NOT NULL,
	name VARCHAR(50) UNIQUE NOT NULL
);

/*",data integrity,group name could be empty,add a check contraint to make sure that char_lnegth >= 1,"CREATE TABLE groups (
	id SERIAL PRIMARY KEY NOT NULL,
	name VARCHAR(50) UNIQUE NOT NULL CHECK (char_length(name) >= 1)
);

/*",dfe62cb36a95bfce3e4446bfc04d80eeee01f9a5,
13,"`abnormal_atypical_exculsionary` enum('exculsionary','non_exclusionary','not_answered') DEFAULT NULL,",Bug,"The column name contains a spelling mistake (typo) where 'exculsionary' was written instead of 'exclusionary'. This creates an invalid column name, causing errors when other queries or applications attempt to reference it using the correct spelling.",Correct the spelling of the column name by changing 'exculsionary' to 'exclusionary' to match the intended English word and ensure database consistency.,"`abnormal_atypical_exclusionary` enum('exclusionary','non_exclusionary','not_answered') DEFAULT NULL,",b05b7379103fe10babb5412aec60df704a2bb74b,
14,"`sort1` varchar(80) default NULL, `sort2` varchar(80) default NULL, UNIQUE KEY `cardnumber` (`cardnumber`), KEY `borrowernumber` (`borrowernumber`), KEY `categorycode` (`categorycode`), KEY `branchcode` (`branchcode`), KEY `userid` (`userid`),",Data Integrity,"The 'borrowernumber' column was defined only as a regular index (KEY) instead of a PRIMARY KEY. While a regular index improves query performance, it does not officially enforce the entity integrity constraint or properly designate the column as the table's main unique identifier.",Define borrowernumber as the primary key of the table.,"`sort1` varchar(80) default NULL, `sort2` varchar(80) default NULL, UNIQUE KEY `cardnumber` (`cardnumber`), PRIMARY KEY `borrowernumber` (`borrowernumber`), KEY `categorycode` (`categorycode`), KEY `branchcode` (`branchcode`), KEY `userid` (`userid`),",64278fd6b3de8c5b072819ba0a82f9c0c391405b,Changed borrowernumber from a regular index to the primary key of the table.
15,"DEALLOCATE PREPARE stmt;

-- First create the foreign key that we dropped earlier
ALTER TABLE `theme_user_counts` ADD CONSTRAINT `addon_id_refs_id_ac19f783` FOREIGN KEY (`addon_id`) REFERENCES `addons` (`id`)

-- Now create our new, proper index.
ALTER TABLE `theme_user_counts` ADD CONSTRAINT `theme_user_counts_date_cc9034dde90789f_uniq` UNIQUE (`date`, `addon_id`);",Bug,"The SQL statement was missing a semicolon. Without a semicolon, the database may not correctly separate SQL commands, causing the migration script to fail.",Add the missing semicolon at the end of the SQL statement.,"DEALLOCATE PREPARE stmt;

-- First create the foreign key that we dropped earlier
ALTER TABLE `theme_user_counts` ADD CONSTRAINT `addon_id_refs_id_ac19f783` FOREIGN KEY (`addon_id`) REFERENCES `addons` (`id`);

-- Now create our new, proper index.
ALTER TABLE `theme_user_counts` ADD CONSTRAINT `theme_user_counts_date_cc9034dde90789f_uniq` UNIQUE (`date`, `addon_id`);",42dd849a280d1fa878a2cbd0a831d6b8d7503d1b,
16,"
INSERT INTO `letter` (module, code, branchcode, name, is_html, title, content, message_transport_type)
VALUES ('members','PASSWORD_RESET','','Online password reset',1,'Koha password recovery','<html>\r\n<p>This email has been sent in response to your password recovery request for the account <strong><<user>></strong>.\r\n</p>\r\n<p>\r\nYou can now create your new password using the following link:\r\n<br/><a href=\""<<passwordreseturl>>\""><<passwordreseturl>></a>\r\n</p>\r\n<p>This link will be valid for 2 days from this email\'s reception, then you must reapply if you do not change your password.</p>\r\n<p>Thank you.</p>\r\n</html>\r\n','email'),
('members','MEMBERSHIP_EXPIRY','','Account expiration','Account expiration','Dear <<borrowers.title>> <<borrowers.firstname>> <<borrowers.surname>>,.\r\n\r\nYour library card will expire soon, on:\r\n\r\n<<borrowers.dateexpiry>>\r\n\r\nThank you,\r\n\r\nLibrarian\r\n\r\n<<branches.branchname>>','email');",Bug,The missing value for the is_html column in the second dataset causes a strict Column count mismatch error because the target columns are explicitly specified in the INSERT statement.,Insert the missing '0' value for the 'is_html' column in the second row of the VALUES clause so that it aligns correctly with the 8-column table structure.,"INSERT INTO `letter` (module, code, branchcode, name, is_html, title, content, message_transport_type)
VALUES ('members','PASSWORD_RESET','','Online password reset',1,'Koha password recovery','<html>\r\n<p>This email has been sent in response to your password recovery request for the account <strong><<user>></strong>.\r\n</p>\r\n<p>\r\nYou can now create your new password using the following link:\r\n<br/><a href=\""<<passwordreseturl>>\""><<passwordreseturl>></a>\r\n</p>\r\n<p>This link will be valid for 2 days from this email\'s reception, then you must reapply if you do not change your password.</p>\r\n<p>Thank you.</p>\r\n</html>\r\n','email'),
('members','MEMBERSHIP_EXPIRY','','Account expiration',0,'Account expiration','Dear <<borrowers.title>> <<borrowers.firstname>> <<borrowers.surname>>,.\r\n\r\nYour library card will expire soon, on:\r\n\r\n<<borrowers.dateexpiry>>\r\n\r\nThank you,\r\n\r\nLibrarian\r\n\r\n<<branches.branchname>>','email');",2ce4b1635d24179fb3d5b11459045d86b9cf977e,Fixed column count mismatch in the INSERT statement by providing the missing 'is_html' value for the membership expiry row.
17,"override_policy VARCHAR(32) NOT NULL, schedule_id VARCHAR(22), deploy_constraint_id VARCHAR(22), project_id INT(11) PRIMARY KEY (env_id) ) ENGINE=InnoDB DEFAULT CHARSET=utf8; CREATE UNIQUE INDEX env_name_stage_idx ON environs (env_name, stage_name);",Bug,"The query causes a critical syntax error because a comma is missing at the end of the project_id INT(11) column definition. In SQL, a comma is strictly required to separate column declarations from subsequent table constraints like PRIMARY KEY.","Add a comma (,) immediately after INT(11) on the project_id line. This properly terminates the column definition and allows the database engine to parse the following PRIMARY KEY constraint successfully.","override_policy VARCHAR(32) NOT NULL, schedule_id VARCHAR(22), deploy_constraint_id VARCHAR(22), project_id INT(11), PRIMARY KEY (env_id) ) ENGINE=InnoDB DEFAULT CHARSET=utf8; CREATE UNIQUE INDEX env_name_stage_idx ON environs (env_name, stage_name);",82c9876ad4ebdf05332e9d0562a2de5a5e0c2ab4,
18,"drop table if exists Recipes; drop table if exists Users; create table Users (user_id varchar(128) primary key, email varchar(128) not null, name varchar(128) not null, last_login datetime not null); create table Recipes (recipe_id char(6) primary key, name varchar(128) not null, passhash char(32) not null);",fix,The schema script drops and recreates the tables every time it runs permanently destroying all existing data on each execution,Remove the DROP TABLE statements and use CREATE TABLE IF NOT EXISTS instead of CREATE TABLE so the script is safe to run on an already-populated database,"create table if not exists Users (user_id varchar(128) primary key, email varchar(128) not null, name varchar(128) not null, last_login datetime not null); create table if not exists Recipes (recipe_id char(6) primary key, name varchar(128) not null, passhash char(32) not null);",f1bcbe3ab06e44c1a18326e2d102e91d471c1037,Destructive DDL scripts that drop tables should always be guarded; use IF NOT EXISTS for idempotent schema creation
19,Table event_push_actions has columns stream_ordering and user_id with no index defined on them while queries filter and sort by these columns,performance,Without an index on (stream_ordering user_id) any query filtering or ordering by these columns performs a full table scan which is slow as the table grows,Add a composite index on the frequently-queried columns,CREATE INDEX event_push_actions_stream_ordering ON event_push_actions(stream_ordering user_id);,96bcfb29c7b8cb04f4b887c518016cb968645cb9,Always add indexes on columns used in WHERE clauses and ORDER BY; a composite index covering both columns is especially efficient here
20,"CREATE TABLE data_log ( id INT PRIMARY KEY, log_text VARCHAR(255) ) ENGINE=MyISAM;",performance,MyISAM uses table-level locking which significantly degrades concurrent insert/update performance,Change the table storage engine from MyISAM to InnoDB to utilize row-level locking.,"CREATE TABLE data_log ( id INT PRIMARY KEY, log_text VARCHAR(255) ) ENGINE=InnoDB;",895dd0f5bdb7882c8bc7df0beb76eecfd4d0a0e0,InnoDB is the recommended engine for modern MySQL concurrent workloads
